"geneID"	"HL_1mMNO3_1"	"HL_1mMNO3_2"	"HL_1mMNO3_3"	"HL_10mMNO3_1"	"HL_10mMNO3_2"	"HL_10mMNO3_3"	"LL_1mMNO3_1"	"LL_1mMNO3_2"	"LL_1mMNO3_3"	"LL_10mMNO3_1"	"LL_10mMNO3_2"	"LL_10mMNO3_3"
"1"	"Cz01g00020"	6.13602848913049	6.10855231376196	6.02779355165475	6.33606233678557	6.36261985128659	6.29201095914161	6.25642169000732	6.25039081943067	6.2182486020786	6.31720931590033	6.29414647481366	6.34307485830022
"2"	"Cz01g00030"	8.37497923476328	8.41215390697819	8.27545831110257	8.83845031021593	8.74520115563132	8.71221540816712	8.61778820113949	8.52347850652789	8.41823511203948	8.63214572539584	8.59807146147519	8.62271003046398
"3"	"Cz01g00040"	0.651290679191872	0.542483400760748	0.593806057440501	0.980973773267644	0.963123315774762	0.842834853642113	0.567174026553298	0.607545825679443	0.681083088228697	1.13772762203593	0.836470066331848	0.555242645698026
"4"	"Cz01g00050"	0.162860761447291	0.340894315745052	0.305018072700548	0.467432407851733	0.384707345007567	0.600592564783205	0.424934692548495	0.289554526426173	0.414684151131949	0.387549441880554	0.599651972841316	0.41679303001473
"5"	"Cz01g00060"	2.9870987060458	3.03268647415306	3.48873098037551	3.53931212460912	3.40681715743053	3.52977786311501	3.27962282453693	3.63670708599168	3.55739839315886	3.47550374871614	3.65914805302669	3.67687859214836
"6"	"Cz01g00070"	4.4637632398525	4.51973307603861	4.34897658923952	5.10047818974185	5.05680368205298	4.92176152857706	4.61206695347578	4.60830970071904	4.54453575092777	4.95970137407269	4.90516832596428	4.92119291320811
"7"	"Cz01g00080"	6.73122192015917	6.64305632100113	6.70675024191777	6.58862150276313	6.55131102693921	6.54741341410333	6.70138558140136	6.70480690535427	6.73122192015917	6.4300125406228	6.50829454923256	6.55409485577002
"8"	"Cz01g00090"	2.40422441244696	2.24888234527859	2.53782289419018	3.42826130431563	3.36798604849177	3.69239632923343	2.50133023355846	2.49243317813666	3.0700213365683	3.60464231843194	3.83108635528422	3.31583952080306
"9"	"Cz01g00100"	5.29601146231681	5.3331909812183	5.35000501993763	4.81051692383873	5.06378406182129	5.35560318027508	5.44482220219566	5.45369792786184	5.52213392940998	5.45456995362054	5.52933212945518	5.08409404001615
"10"	"Cz01g00110"	4.33707581899702	4.37493658084494	4.26016179322003	4.13128174775675	4.19280256640027	4.18664289846062	4.13991421160124	4.2145017807221	4.15651800030317	4.23822687281762	4.21663829329531	4.33685023863417
"11"	"Cz01g00120"	5.27249385057065	5.27176317988449	5.40252557194011	5.27176317988449	5.58084723834836	5.5848069250859	5.34544636548197	5.3271512998909	5.31776204810416	5.62316923695127	5.95379194135463	5.72071150307459
"12"	"Cz01g00130"	1.92855121739108	2.11152689763837	2.35067198443284	0	0	0.777530306638415	2.10245653883071	1.46966254903552	2.14528669999433	1.64104899765073	1.8054686773943	1.32335240875878
"13"	"Cz01g00140"	2.20899204792475	1.80229092258654	2.16993125690299	0	0.848218327002283	1.59405230339856	2.00830269087547	2.25252647288971	2.34544823475035	2.09616837076695	1.80798913087957	2.11152689763837
"14"	"Cz01g00150"	3.53888117480401	3.2341589218569	3.18897701028597	3.62207420290563	3.57842346824594	3.62277420288888	3.30507225548092	3.12809278699263	3.4586990530651	3.70972140770993	3.44583104542251	3.37258050610947
"15"	"Cz01g00160"	3.06700005809585	2.96130020763649	2.75669171094153	3.41936788088424	3.41896641989464	3.40538638486674	3.25039272984679	2.84711689317282	2.91808531814699	3.31346046224914	3.16358174094867	3.52487020727792
"16"	"Cz01g00170"	3.71543989279902	3.59829519058072	3.64208894718997	3.60410265615893	3.38020748235125	3.41057798168187	3.64149191814663	3.54639522887351	3.67574581900567	3.57268313043287	3.4375571871528	3.45030532697677
"17"	"Cz01g00180"	5.91598413824238	5.89858278573052	5.80912376544955	6.53312289910965	6.40659127165959	6.40975414282193	6.09788063224613	6.06405853976377	5.97154966180217	6.50995456025905	6.55297098808144	6.52048931047721
"18"	"Cz01g00190"	6.19974205135988	6.07384675304964	6.01158948381104	6.39816755117817	6.15798172738567	5.96043175987628	6.15351077324018	6.43096072304018	6.1734070832104	6.27453051085291	5.9446690104663	6.04039809839733
"19"	"Cz01g00200"	5.34497009503626	5.26439856353079	5.43539839509838	5.62363638446465	5.45191852945318	5.31746563578283	5.56000626840375	5.5074097527681	5.42189748800185	5.50678267469773	5.32394768413314	5.42542777816954
"20"	"Cz01g00210"	4.64488067151569	4.54385242179827	4.40907031883537	4.52211315195789	4.84438478501759	4.56880539165724	4.8085258214942	4.57026030290407	4.44668971581482	4.79311616020019	4.73459588775858	4.83688664182288
"21"	"Cz01g00220"	5.60416701201318	5.5074097527681	5.46432410148363	5.63758635150564	5.60328571899374	5.59404246807968	5.64063946063275	5.70365218859804	5.60201418789052	5.70158728625742	5.73304664632066	5.72817226753777
"22"	"Cz01g00230"	7.01455427699779	6.89343682809808	6.79848228555019	7.25310813161085	7.21599278325201	7.18819943982138	7.17989942039406	7.13261597336913	6.9589874535731	7.18146623620522	7.19629073280624	7.22263382232388
"23"	"Cz01g00240"	2.05297626835942	2.22529361691415	1.72366072723964	2.72709421834732	2.20749320130699	2.53541551122726	2.37288214742312	2.39403690726215	2.01510505535554	2.90666139793688	2.82741519542341	2.90903479130941
"24"	"Cz01g00250"	5.23676891067593	5.29255048427668	5.30879132537286	5.61869909677381	5.67717619925109	5.51691757483625	5.3202925205979	5.30571606789257	5.24593453451554	5.3911004402775	5.45058874468056	5.49108762799986
"25"	"Cz01g00260"	2.26147060363251	2.47324352995696	1.82097078951209	3.66200860331001	3.55119152657816	3.42545147609999	3.26532558959156	2.9345509285855	1.73496032562764	3.19571035041964	3.14196774561466	3.09377634993877
"26"	"Cz01g00270"	3.87083608352228	3.67150263272673	3.57578481426657	3.45582621061971	3.90821835027018	4.09898990642313	3.50132522861456	3.63621509902782	3.53170252093296	3.57392965847388	3.98118419212703	3.72087963865138
"27"	"Cz01g00280"	4.85911488478369	4.76749467347958	4.4436465391261	4.64892629744596	4.65255983770056	4.66797611691019	4.42321068724366	4.50976290649982	4.61100775933268	4.44172342147832	4.37323495841653	4.68173212163412
"28"	"Cz01g00290"	3.6127288654169	3.56602870022903	3.48020198791012	4.07092370041924	3.91612392819588	3.85681680778801	3.72517343564952	3.74604314839209	3.61710758247933	3.70011577114586	3.78571031844239	3.77290430118391
"29"	"Cz01g00300"	6.27056525155563	6.25317892296598	6.25251937347095	6.4858304479515	6.49312849392922	6.3370188622163	6.25710696967805	6.0645686432388	6.12566866128375	6.19662349594177	6.23735442807672	6.23855820008286
"30"	"Cz01g00310"	3.51726769310341	3.81168781599111	3.93478099247499	4.10128303362714	3.91336473123843	3.8775337044591	4.11113693885464	4.1627693931271	4.05383146770624	4.16497693832574	4.03601505059883	4.1197032808678
"31"	"Cz01g01010"	0.570043239158869	0.80606290610633	0.835739472368509	0.84500652811348	1.21741458422664	0.98541802243689	0.946453968205134	0.869145784544051	0.827709059836251	0.794771435308113	0.531420826534975	1.1986775914745
"32"	"Cz01g01020"	11.0295077321247	11.0055203788915	10.8695128600956	10.040085893301	10.0120442104372	10.0272466709308	10.7767913583723	10.7360611804848	10.8238221176057	10.2522221488678	10.0775920022258	10.1562390050837
"33"	"Cz01g01030"	3.2722423208113	4.37083078653521	4.67221387633998	2.36192078446457	2.65526933289409	2.63188411850711	3.79078643212289	4.36558852872652	4.42931699564029	2.38409947138503	2.29363611485977	2.21836974106036
"34"	"Cz01g01040"	0.97699956098559	0.736664553737067	0.73092614757606	1.97260450155638	1.39352719042446	1.45820975889653	1.74120020397132	1.49128366536749	1.11036795661385	1.29586368330954	1.22167023890014	0.820210780879892
"35"	"Cz01g01050"	0.734320266161018	0.770424619973051	0.536127234745701	1.28280175151631	1.005954909223	0.954835293078676	1.06989831532794	1.01331523523187	0.812986211291122	0.963123315774762	0.64674802060928	0.526965040850272
"36"	"Cz01g01060"	6.61955949400871	6.60107253082098	6.4177250068658	6.88703728820913	6.6984848305114	6.71524020318025	6.77032305280853	6.62868125248007	6.60739126759635	7.0086998627415	6.71219143604432	6.714042217825
"37"	"Cz01g01070"	6.41559733564057	6.46042787761613	6.49398812718195	6.08298256397144	6.35407548173389	6.27385543071489	6.33547352112205	6.49490141014585	6.46866469634299	6.35762172934481	6.30596826593181	6.31618357180227
"38"	"Cz01g01080"	4.63536588919159	4.75782019388495	4.66438058429264	4.56063522305105	4.46983308481292	4.48909136878001	4.74911430145646	4.64488067151569	4.68030825330746	4.60967866338006	4.69809815768138	4.62264304835425
"39"	"Cz01g01090"	3.73732711718232	3.63401335645308	3.61941179824911	3.36259986096796	3.08509979261603	3.48904982287084	3.59326030906158	3.60102064214825	3.68024834417222	3.16867566733179	3.20943941828226	3.14434391248271
"40"	"Cz01g01100"	3.36830488810395	3.43295387565355	3.33400123070176	3.16730250556342	3.03191541604889	3.17535935605823	3.33400123070176	3.31346046224914	3.49172732653753	3.3555479680736	2.70480718915711	2.64560045875396
"41"	"Cz01g01110"	3.93478099247499	3.96242939201455	3.82606709527217	3.62025265235711	3.61882541035243	3.57878877076104	3.96453393427535	3.84815331802624	3.8508957295652	3.61751686765569	3.36830488810395	2.94960084789057
"42"	"Cz01g01120"	4.54801543217114	4.42447998370575	4.32395677531041	4.12687175749158	4.04405070487129	3.93742039958797	4.57354201144157	4.25558530910615	4.25029565817753	3.9585220386764	4.01037349520847	3.995943960472
"43"	"Cz01g01130"	3.68662495553413	3.6115840729882	3.58189004860299	4.00512584433149	3.88009051651714	3.81065516082196	3.83780179396853	3.82606709527217	3.69944097856176	3.78240624370478	3.89110362753074	3.95063030935811
"44"	"Cz01g01140"	4.30284554713246	4.30347471710914	4.46905090590785	4.17243818201505	3.80017835001315	3.87629932263291	4.24885492664708	4.19498733880033	4.25190504551365	4.02313381976078	3.66722274680198	3.88960456785305
"45"	"Cz01g01150"	3.26131047276874	3.46658310428418	3.67364747657872	3.1043889513669	3.09500154726467	3.25622460095504	3.31435740312841	3.26532558959156	3.49561392463716	3.16637625725063	3.10545307516533	3.19401438244576
"46"	"Cz01g01160"	0	0.32746481041424	0	0.491498098901402	1.05037268596461	0.998494316608577	0	0.395860035415602	0	0	0.8732445298563	1.36169640963059
"47"	"Cz01g01170"	3.41817468573466	3.39109826670429	3.19975161940855	3.87953762008157	4.17545570679978	3.76736666909472	3.41027624054861	3.29533946430644	3.38988989728854	3.66913238874396	3.86403433594482	3.84661508971076
"48"	"Cz01g01180"	1.32152207695532	1.0717062008427	1.3393249669294	0	0	0.430906859058278	1.18108181744384	1.10243008817558	0.974898319553766	1.00904650073789	0.619342190879001	0.626172820564548
"49"	"Cz01g01190"	1.00008843706108	1.09826163278744	1.04408253486712	0	0.354923447193902	0	0.68976104613459	1.16015148290607	0.970256853903439	0.634025895837352	0.593806057440501	0.497622301764124
"50"	"Cz01g01200"	4.4979645492502	4.36658439613345	4.42847953822322	4.08649387645433	4.17314232821716	4.13815580624342	4.25625826815896	4.32807169220015	4.22061378570449	4.18130347103363	4.2932576336491	4.37567390594369
"51"	"Cz01g01210"	7.0796261554099	6.97535741595851	6.92245018604815	6.92335207021483	6.75910168406862	6.81663962831344	7.00490873330201	7.0154759978441	6.97440324471426	6.87425566562659	6.85248142026955	6.91430939541711
"52"	"Cz01g01220"	5.24593453451554	5.39988565607808	5.17774631281413	5.22234003221667	5.14815954705345	5.13001213165686	5.33630380008413	5.37221075342686	5.36038806137954	5.25076244743353	5.15374123145082	5.17354031417007
"53"	"Cz01g01230"	3.38065383585951	3.28450890907363	3.15089405456927	3.56331300566166	3.26493404708413	3.34708521235739	3.50520692442803	3.48836634185766	3.38927713164653	3.60777697742168	3.32641882337278	3.20860257625196
"54"	"Cz01g01240"	5.8100493501836	5.5559553658591	5.67117089593019	5.29397516403746	5.40013966544782	5.57678485079242	5.74812103091983	5.56812214629951	5.75644819368374	6.20019173108574	6.07235547517206	6.13902775467661
